title,date,month,year,day,Incident,Type,Location,Weather,Other Agencies,Diagnosis,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Tagged
Scafell ï¿½ï¿½ï¿½ Mon 24th Ma,24-Mar-25,3,2025,2,26 in 2025,Full Callout ï¿½ï¿½ï¿½ Injured & M,Scafell,"['Clear', 'Cold', 'Dry']","['Air Ambulance', 'Coastguard', 'Cumbria Police', 'Helimed 58', 'Rescue 199 from Prestwick']",Multiple Injuries,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-mon-24th-mar-2025/,"The team was called out on Monday afternoon by Cumbria Police about a serious incident involving a fallen climber. Two climbers were ascending a crag on Sca Fell, when the lead climber took a large fall. He was seriously injured, unable to communicate and ended the fall suspended on the rope below the second climber. Fortunately, the second climber was uninjured and still secure on the crag, but urgently needed assistance.
The team was very quickly called out and help was requested from a Coastguard helicopter. Helimed 58 also responded quickly. As the team assembled at Brackenclose and prepared the large inventory of rope rescue, medical and other equipment required for a hugely challenging technical rescue, Rescue 199 arrived overhead. With the backup plan to uplift team members high on Sca Fell, saving significant time and effort for team members to get close to the scene, the crew of Rescue 199 took a close look at whether a winch rescue was possible. After some time carefully assessing the risks to all involved, an attempt to winch was made. We donï¿½ï¿½ï¿½t normally use superlatives, but with some truly amazing and heroic flying skills and teamwork, they managed to both access and then safely winch the climber directly into the helicopter from his suspended position on the end of the rope. A transfer to Helimed 58 was then completed to allow advanced medical care to be given, before then flying to a suitable hospital.
With the most urgent rescue completed by the helicopter crews, the rescue of the second climber still remained on what is one of the most inaccessible points of the Wasdale MR area. With the offer of further uplift assistance from Rescue 199 still a possibility (but not a guarantee), some members of the team set off on foot with heavy loads to the top of Sca Fell. However, after a refuel of the helicopter, the remaining ten team members were very grateful to get the lift up, comfortably overtaking the hill party. At this point, the technical rope rescue began, with several hundred metres of ro countless other pieces of equipment assuring the safety of both team members and the climber. After some time, in very cold and windy conditions at height, the first rescuer was able to be lowered to the climber. She was able to very bravely and ably assist the rescue, doing most of the work herself to climb and scramble back to safe ground.
After de-rigging, the long walk down to Brackenclose was completed safely and the climber re-united with awaiting family members. The team travelled back to base and spent considerable time checking equipment for damage and resetting the vehicles, before a debrief and finally being stood down to return home.
Our thanks to both helicopter crews, and especially the crew of Rescue 199, whose actions brought the time down for the injured climber getting to definitive medical care by many hours.
We wish both climbers well and offer our very best wishes that the injured climber recovers fully from his injuries. ", Incident started at 14:55 and ended at 01:49 making 10.9 hrs in total. There were 26 Wasdale team members involved and the incident occured at NY207068. Total rescuer hours: 283,14:55,1:49,10.9,26,NY207068,283,
Upper Eskdale ï¿½ï¿½ï¿½ Sat 22nd Ma,22-Mar-25,3,2025,7,25 in 2025,Alert ï¿½ï¿½ï¿½ Cr,Upper Eskdale,"['Dry', 'Sunny']",['Cumbria Police'],,Alert,Cragfast,https://www.wmrt.org.uk/incidents/upper-eskdale-sat-22nd-mar-2025/,"A short alert when a call was received from Cumbria Police about a walker who was concerned for his safety, having been separated from his walking party and was on ground with loose rock. However, after a few minutes a further call was received that the party had reunited and the walker was back on safe ground. The team was stood down. ", Incident started at 14:59 and ended at 15:17 making 0.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 215027. Total rescuer hours: 0.3,14:59,15:17,0.3,1,NY 215027,0.3,['Cragfast']
Crinkle Crags ï¿½ï¿½ï¿½ Sat 15th Ma,15-Mar-25,3,2025,7,24 in 2025,Alert ï¿½ï¿½ï¿½ Injured & M,Crinkle Crags,"['Clear', 'Cold', 'Dry']",['Langdale Ambleside MRT'],Medical,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/sat-15th-mar-2025/,A short alert when the Team Leader was notified about an unwell walker. However as further information was obtained it was determined that the location was in Langdale Ambleside MRTï¿½ï¿½ï¿½s area and after a handover they successfully completed the re, Incident started at 19:14 and ended at 19:25 making 0.2 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 249054. Total rescuer hours: 0.2,19:14,19:25,0.2,1,NY 249054,0.2,
"Lords Rake, Scafell ï¿½ï¿½ï¿½ Fri 14th Ma",14-Mar-25,3,2025,6,23 in 2025,Full Callout ï¿½ï¿½ï¿½ Cr,"Lords Rake, Scafell","['Cold', 'Dry', 'Sunny']","['Coastguard', 'Cumbria Police', 'Rescue 199 from Prestwick']",,Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/lords-rake-scafell-fri-14th-mar-2025/,"A call was received from Cumbria Police about a lone walker who had become crag fast after veering off course whilst descending Lordï¿½ï¿½ï¿½s Rake. The Team Leader was able to make contact with the walker, who was stuck on steep and icy ground in a precarious spot. The team was called out and also help was requested from a Coastguard helicopter with winching capability. Fortunately Rescue 199 from Prestwick was able to respond quickly and comfortably beat team members to the scene. They were able to locate and then winch the casualty to safety from the crag before dropping him off at Brackenclose. Our thanks go to the crew of Rescue 199 for their quick resp", Incident started at 12:48 and ended at 15:50 making 3 hrs in total. There were 19 Wasdale team members involved and the incident occured at NY 206068. Total rescuer hours: 57,12:48,15:50,3,19,NY 206068,57,['Cragfast']
Scafell Pike ï¿½ï¿½ï¿½ Wed 12th Ma,12-Mar-25,3,2025,4,22 in 2025,Alert ï¿½ï¿½ï¿,Scafell Pike,"['Cold', 'Showers', 'Windy']",['Cumbria Police'],,Alert,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-wed-12th-mar-2025/,"A short alert for the Team Leader when Cumbria Police was called about three walkers who had asked for help high on Scafell Pike. A poor signal meant the information received was patchy. It appeared that they may have been caught in a wintry shower or that winter conditions underfoot were causing concern. However, a short while later, a further call was received stating that they were now out of danger and did not require MR assistance. ", Incident started at 13:30 and ended at 13:57 making 0.5 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 217075. Total rescuer hours: 0.5,13:30,13:57,0.5,1,NY 217075,0.5,['Lost']
"Lingmell Col, Scafell Pike ï¿½ï¿½ï¿½ Sat 8th Ma",8-Mar-25,3,2025,7,21 in 2025,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Lingmell Col, Scafell Pike","['Dry', 'Sunny']","['Cumbria Police', 'Great North Air Ambulance', 'Helimed 58']",Ankle Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-sat-8th-mar-2025-2/,"As incident No.20 was being assessed, a further call came in from Cumbria Police. Another walker had fallen and suffered a serious ankle injury, very close to the location of the ongoing callout. The team were already mobilised, but due to the nature of the injury helicopter support was also requested. Helimed 58 from Langwathby responded quickly and they were able to land close to the scene and provide the medical assessment and care required. However, the team was still required to provide support for the stretcher carry to the helicopter. This was completed and then the team members descended in case a stretcher carry was needed for the previous callout. This was not required and so returned to base to reset the vehicles in readiness for the next tasking. We wish the walker a quick recovery from his injury and thank the Helimed 58 crew for their help. 












 ", Incident started at 14:38 and ended at 19:56 making 5.3 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY 211077. Total rescuer hours: 106,14:38,19:56,5.3,20,NY 211077,106,
"Lingmell Col, Scafell Pike ï¿½ï¿½ï¿½ Sat 8th Ma",8-Mar-25,3,2025,7,20 in 2025,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Lingmell Col, Scafell Pike","['Dry', 'Sunny']",['Cumbria Police'],Ankle Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-sat-8th-mar-2025/,"A call was received from Cumbria Police about a walker who had slipped on scree, injured his ankle, and was finding it difficult to continue. The Team Leader was able to make contact, and as the walker was willing and able to make slow progress, he was advised to keep moving to stay warm. The team was called out and met the walker stoically descending. After an assessment, it was agreed that it was safe to continue under his own steam. The slow walk to Brackenclose was successfully completed by the walker, escorted by some team members, with others diverted to another callout higher up on the mountain. 






 ", Incident started at 14:01 and ended at 19:57 making 5.9 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY 211076. Total rescuer hours: 118,14:01,19:57,5.9,20,NY 211076,118,
Miterdale ï¿½ï¿½ï¿½ Fri 7th Ma,7-Mar-25,3,2025,6,19 in 2025,Limited Callout ï¿½ï¿½ï¿,Miterdale,"['Clear', 'Cold', 'Dry']",,,Limited Callout,Lost,https://www.wmrt.org.uk/incidents/mitredale-fri-7th-mar-2025/,"A straightforward callout was swiftly resolved after two walkers had separated in a walk in Miterdale forest. One had become lost and needed some help to return to her vehicle as darkness was starting to fall. Two local team members volunteered to attend and were able to quickly locate the first walker and escort her down. The two walkers were then reunited at their vehicle, and the log was closed. ", Incident started at 17:57 and ended at 19:12 making 1.3 hrs in total. There were 4 Wasdale team members involved and the incident occured at NY 14700 01100. Total rescuer hours: 5,17:57,19:12,1.3,4,NY 14700 01100,5,['Lost']
Scafell Pike ï¿½ï¿½ï¿½ Thu 6th Ma,6-Mar-25,3,2025,5,18 in 2025,Full Callout ï¿½ï¿½ï¿,Scafell Pike,"['Cloudy Summits', 'Cold', 'Mist', 'Rain']",['Cumbria Police'],,Full Callout,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-thu-6th-mar-2025/,"A full callout was initiated on Thursday after a call from Cumbria Police. Two walkers had been ascending Scafell Pike and separated at Lingmell Col when one wanted to make the summit and the other stayed behind. Visibility was poor with mist and rain and with darkness setting in, both walkers became lost with no head torches and called for help. A Phonefind located the walker at Lingmell Col, but the accuracy from the initial police call coordinates gave a reasonably wide search radius for the one higher up. Faced with the possibility of a search in poor conditions further help was requested from Duddon And Furness MRT. The team were able to locate the walker at Lingmell Col in the location expected. The second walker was also found after a brief search, however, was very cold and wet. Fortunately after a change of clothes and some rewarming he was able to also walk off back to Brackenclose to be reunited with his walking partner. Some lessons were learned by the walkers, after setting off very late in the day. Thanks to Duddon and Furness MRT for their support once again. 












 ", Incident started at 18:56 and ended at 01:38 making 6.7 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY 211077. Total rescuer hours: 121,18:56,1:38,6.7,18,NY 211077,121,['Lost']
Scafell Pike ï¿½ï¿½ï¿½ Mon 3rd Ma,3-Mar-25,3,2025,2,17 in 2025,Limited Callout ï¿½ï¿½ï¿½ Cr,Scafell Pike,"['Cloudy Summits', 'Cold', 'Drizzle']",['Cumbria Police'],,Limited Callout,Cragfast,https://www.wmrt.org.uk/incidents/scafell-pike-mon-3rd-mar-2025/,"The team was called by Cumbria Police about two inexperienced walkers who were not able to get down from the summit in dark and misty conditions and were getting increasingly cold. The Team Leader was able to talk to the walkers; the main problem was that they had no head torches to enable a safe guided ï¿½ï¿½ï¿½walk-offï¿½ï¿½ï¿½. They agreed to stay put and wait for help. A limited callout was made and some members were diverted from the ongoing team training. Once on scene at the summit, head torches and extra clothing was provided and the two walkers escorted back to their vehicle at Brackenclose. 

", Incident started at 19:20 and ended at 01:24 making 6.1 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY 215073. Total rescuer hours: 67,19:20,1:24,6.1,11,NY 215073,67,['Cragfast']
