,title,date,Incident,Type,Location,Weather,Tagged,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Other Agencies,Diagnosis,year,month,year_month
0,"Lingmell Gill Path, Scafell Pike – Tue 4th Nov 2025",2025-11-04,145 in 2025,Alert — Other,"Lingmell Gill Path, Scafell Pike","['Cold', 'Rain']",['False Alarm'],Alert,Other,https://www.wmrt.org.uk/incidents/lingmell-gill-path-scafell-pike-tue-4th-nov-2025/,"A short alert was quickly resolved after a walker was concerned for another walker and his two dogs who was the high side of Lingmell Gill which looked to be unpassable due to the heavy rainfall. However the walker was able to communicate his intentions to re-ascend to a higher elevation, cross the gill and take an alternative route down. With no assistance required, the log was closed.  ", Incident started at 12:47 and ended at 13:00 making 0.2 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY195074. Total rescuer hours: 0.4,12:47,13:00,0.2,2,NY195074,0.4,,,2025,11,2025-11-01
1,"Pikes Crag, Scafell Pike – Sun 2nd Nov 2025",2025-11-02,144 in 2025,Alert — Lost,"Pikes Crag, Scafell Pike","['Cloudy Summits', 'Cold', 'Mist']",['Lost'],Alert,Lost,https://www.wmrt.org.uk/incidents/pikes-crag-scafell-pike-sun-2nd-nov-2025/,"The team was called by Cumbria Police about a walker who had become lost while descending from the summit of Scafell Pike. He reported being on steep ground. Using PhoneFinds, the Team Leader was able to identify his location and guide him back to the main path. Once re-located on the path, the walker was able to make his own way down without further assistance. A good outcome. ", Incident started at 21:36 and ended at 22:58 making 1.4 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY 210071. Total rescuer hours: 2.8,21:36,22:58,1.4,2,NY 210071,2.8,['Cumbria Police'],,2025,11,2025-11-01
2,"Broadcrag Tarn, Scafell Pike – Sun 2nd Nov 2025",2025-11-02,143 in 2025,Limited Callout — Lost,"Broadcrag Tarn, Scafell Pike","['Cloudy Summits', 'Cold', 'Mist']","['Lost', 'Party Separated']",Limited Callout,Lost,https://www.wmrt.org.uk/incidents/broad-crag-sun-2nd-nov-2025/,"Cumbria Police received a call from a family member reporting that two walkers had become separated from their group while descending Scafell Pike and were now lost below Broadcrag Tarn.
The Team Leader made contact and identified their location via PhoneFind. An attempt was made to talk them back up and down to Wasdale, but worsening weather conditions made this impractical. A small team was deployed and successfully escorted the pair back down to eventually re-join their family. ", Incident started at 16:18 and ended at 21:53 making 5.6 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY213065. Total rescuer hours: 39,16:18,21:53,5.6,7,NY213065,39.0,['Cumbria Police'],,2025,11,2025-11-01
3,"Green How, Scafell – Fri 31st Oct 2025",2025-10-31,142 in 2025,Limited Callout — Overdue,"Green How, Scafell","['Cold', 'Rain', 'Windy']","['Lost', 'Overdue']",Limited Callout,Overdue,https://www.wmrt.org.uk/incidents/green-how-scafell-fri-31st-oct-2025/,"The team was called by Cumbria Police after a call from a concerned family member reporting a walker who overdue and lost in fog near Green How. The Team Leader initiated an investigation and made contact with the walker. Due to fading daylight, low phone battery, and mo head torch, a limited team was mobilised. However, the walker managed to make his way off the hill independently and the team was stood down en route. ", Incident started at 16:30 and ended at 17:41 making 1.2 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY 198066. Total rescuer hours: 8,16:30,17:41,1.2,7,NY 198066,8.0,['Cumbria Police'],,2025,10,2025-10-01
4,"Lingmell Col, Scafell Pike – Thu 30th Oct 2025",2025-10-30,141 in 2025,Alert — Lost,"Lingmell Col, Scafell Pike","['Cold', 'Drizzle', 'Mist']",['Lost'],Alert,Lost,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-thu-30th-oct-2025/,"Cumbria Police contacted the Team Leader regarding a walker who was lost and seeking route advice near Lingmell Col. While attempts were made to establish contact, the police confirmed that the walker had encountered an experienced walker who safely led them off the hill. A swift outcome with no MRT deployment required. ", Incident started at 16:16 and ended at 16:32 making 0.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 216077. Total rescuer hours: 0.3,16:16,16:32,0.3,1,NY 216077,0.3,['Cumbria Police'],,2025,10,2025-10-01
5,"Stand Crag, Great End – Sun 26th Oct 2025",2025-10-26,140 in 2025,Full Callout — Injured & Medical,"Stand Crag, Great End","['Cloudy Summits', 'Rain']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/stand-crag-great-end-sun-26th-oct-2025/,"Cumbria Police received a 999 call from a party of three walkers located below Stand Crag. A walker had sustained an ankle injury and was unable to continue. With a poor mobile signal making communications difficult direct with the walking party, a full callout was made. Once on scene the walker was assessed and treated, however it was discovered that a second member of the group had also sustained knee and back injuries and was also determined to be unable to walk off safely. More resources were needed and our friends at Duddon and Furness MRT responded to help with the second stretcher carry, with team shelters, extra layers and heat blankets being used to keep warm during the wait. Both walkers were treated and then packaged into team stretchers for the carry down some steep ground back to the valley floor. They were handed over to the waiting ambulance crew. A long, complex rescue, completed successfully in cold and somewhat unpleasant conditions at times. Thanks to Duddon and Furness MRT. We hope both walkers are doing well and recover from their injuries quickly. ", Incident started at 16:49 and ended at 04:16 making 11.5 hrs in total. There were 17 Wasdale team members involved and the incident occured at NY 21717 08740. Total rescuer hours: 196,16:49,04:16,11.5,17,NY 21717 08740,196.0,"['Cumbria Police', 'Duddon & Furness MRT']","Ankle Injury, Back Injury, Knee Injury",2025,10,2025-10-01
6,"Piers Gill, Scafell Pike – Sun 19th Oct 2025",2025-10-19,139 in 2025,Full Callout — Lost,"Piers Gill, Scafell Pike","['Cloudy Summits', 'Rain']",['Lost'],Full Callout,Lost,https://www.wmrt.org.uk/incidents/piers-gill-scafell-pike-sun-19th-oct-2025/,"The team was called by Cumbria Police regarding a lone walker lost near the top of Piers Gill on the East side of Lingmell Col. With communications difficult preventing a ‘talk off’, the team was deployed. The walker and her dog were located in the position expected. Thankfully both were uninjured and only moderately cold, allowing an escorted walk back down the Brackenclose. A good outcome. ", Incident started at 17:51 and ended at 23:51 making 6 hrs in total. There were 16 Wasdale team members involved and the incident occured at NY 21249 07878. Total rescuer hours: 96,17:51,23:51,6.0,16,NY 21249 07878,96.0,['Cumbria Police'],,2025,10,2025-10-01
7,Scafell Pike – Sat 18th Oct 2025,2025-10-18,138 in 2025,Alert — Overdue,Scafell Pike,['Cloudy Summits'],['Party Separated'],Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-18th-oct-2025/,"The Team Leader was called by Cumbria Police. The informant had reported that their friends had descended the wrong side of Scafell Pike and ended up at Wast Water. After investigating, it was established that all members of the party were safe and well and the only problem was logistics, so the team was stood down and the log closed. ", Incident started at 15:50 and ended at 16:09 making 0.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 14889 04935. Total rescuer hours: 0.3,15:50,16:09,0.3,1,NY 14889 04935,0.3,['Cumbria Police'],,2025,10,2025-10-01
8,"Kirkfell Nose, Kirkfell – Thu 16th Oct 2025",2025-10-16,137 in 2025,Alert — Cragfast,"Kirkfell Nose, Kirkfell",['Cloudy Summits'],['Cragfast'],Alert,Cragfast,https://www.wmrt.org.uk/incidents/kirkfell-nose-kirkfell-sun-16th-nov-2025/,"Cumbria Police contacted the team regarding a walker who was struggling with the terrain on Kirk Fell Nose and had become panicked. The Team Leader was able to make contact by phone, provided reassurance, and successfully talked her through walking back down independently. A good outcome and no MRT deployment required. ", Incident started at 12:02 and ended at 12:47 making 0.8 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 19188 10096. Total rescuer hours: 0.8,12:02,12:47,0.8,1,NY 19188 10096,0.8,['Cumbria Police'],,2025,10,2025-10-01
9,Great Gable – Thu 2nd Oct 2025,2025-10-02,136 in 2025,Alert — Overdue,Great Gable,"['Cloudy Summits', 'Cool', 'Dry']",['Overdue'],Alert,Overdue,https://www.wmrt.org.uk/incidents/great-gable-thu-2nd-oct-2025/,"A brief alert from Cumbria Police when a walker at Green Gable reported that his walking partner was overdue returning from a planned detour up to Great Gable. He was concerned for his safety. After brief contact and clarification, it was confirmed that his friend had been back in touch and that no assistance was required. ", Incident started at 16:32 and ended at 16:44 making 0.2 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 213104. Total rescuer hours: 0.2,16:32,16:44,0.2,1,NY 213104,0.2,['Cumbria Police'],,2025,10,2025-10-01
10,"Gavel Neese, Great Gable – Thu 2nd Oct 2025",2025-10-02,135 in 2025,Alert — Lost,"Gavel Neese, Great Gable","['Cloudy Summits', 'Cool', 'Dry']",['Lost'],Alert,Lost,https://www.wmrt.org.uk/incidents/gavel-neese-great-gable-thu-2nd-oct-2025/,"Cumbria Police contacted the Team Leader regarding a group of four walkers lost while descending from Scafell Pike. The Team Leader investigated and determined via that they were close to Gavel Neese. She provided guidance, and the group successfully navigated back to their vehicle just after 4am, after which the log was closed. ", Incident started at 01:41 and ended at 04:03 making 2.4 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 200093. Total rescuer hours: 2.4,01:41,04:03,2.4,1,NY 200093,2.4,['Cumbria Police'],,2025,10,2025-10-01
11,"Brown Tongue, Scafell Pike – Tue 30th Sep 2025",2025-09-30,134 in 2025,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Cloudy Summits', 'Cold']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-tue-30th-sep-2025/,"The team was called on Tuesday evening by North West Ambulance Service regarding a male walker who was unable to continue his descent from Scafell Pike due to exhaustion and cramp, and possibly also taken some minor falls. The initial location was close to the summit with significant wind chill. His friend had descended to find help. A full team callout was made but with the now lone and inexperienced walker possibly on the move in misty conditions there was a risk of a wrong turn. However, he was found by ascending team members on the main tourist path on Brown Tongue. He was assessed by Remote Rescue Medical Technicians and then stretchered down to safety. A good outcome. We hope he makes a quick recovery. ", Incident started at 18:32 and ended at 00:01 making 5.5 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 203073. Total rescuer hours: 77,18:32,00:01,5.5,14,NY 203073,77.0,['North West Ambulance Service'],Unspecified,2025,9,2025-09-01
12,Scafell – Sat 27th Sep 2025,2025-09-27,133 in 2025,Full Callout — Injured & Medical,Scafell,"['Cloudy Summits', 'Cool', 'Mist', 'Rain']",['Tumble Fall'],Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-sat-27th-sep-2025/,"The team was called last Saturday about a walker who had taken a long tumble fall on steep and dangerous ground whilst trying to scramble towards Lords Rake. He was reported to have multiple injuries and in significant pain. A full team callout was initiated and Helimed 08 self-tasked to see if they could help. However, they were unable to access the walker safely. As the exact location became clearer a Coastguard helicopter with winching capability was requested and Rescue 936 from Caernarfon was dispatched. With numbers a little low due to many team members unavailable at an annual team training event, and with the likelihood of a difficult medical situation alongside a technical rope rescue, additional support from Duddon and Furness MRT was also requested. Unfortunately weather conditions did not allow a direct winch by Rescue 936, so they kindly offered to provide multiple lifts of team members and heavy crag rescue equipment as high as possible. Once on scene a medical assessment was made and strong pain relief given to make the walker more comfortable. He was then packaged carefully into a vacuum mattress (full body splint) and the team stretcher. With conditions still preventing a helicopter winch, the evacuation had to be achieved by a stretcher lower of 150m down a steep gully using approximately 400m metres of rope. Once safely back down to relatively level ground at Hollow Stones, Rescue 936 once again attempted to evacuate, only to be thwarted by the descending cloud base and arriving rain. A stretcher carry was made safely down to Brackenclose, and the walker finally transferred into the care of a NWAS land ambulance crew for onward assessment and treatment at hospital. Thanks to the crew of Rescue 936, Duddon and Furness MRT, Helimed 08 and NWAS for their help. A great team effort. We wish the walker a quick recovery and hope he is back on the fells soon. 
























 ", Incident started at 13:09 and ended at 21:49 making 8.7 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 209069. Total rescuer hours: 122,13:09,21:49,8.7,14,NY 209069,122.0,"['Coastguard', 'Duddon & Furness MRT', 'Helimed 08', 'North West Ambulance Service', 'Rescue 936 from Caernarfon']",Multiple Injuries,2025,9,2025-09-01
13,Dent Fell – Fri 26th Sep 2025,2025-09-26,132 in 2025,Alert — Lost,Dent Fell,"['Cloudy Summits', 'Dry']","['Coast to Coast', 'iPhone Emergency SOS', 'Lost']",Alert,Lost,https://www.wmrt.org.uk/incidents/dent-fell-fri-26th-sep-2025/,"The team was called by Cumbria Police regarding a walker who had become lost on the Coast to Coast route. The call came in via a roaming signal, preventing initial location tracking. A follow-up message from the iPhone emergency centre placed her between Flat Fell and Dent. Upon contact, she confirmed she had navigated back to a known location herself. No injuries reported and no team deployment required. ", Incident started at 14:20 and ended at 14:52 making 0.5 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 049133. Total rescuer hours: 0.5,14:20,14:52,0.5,1,NY 049133,0.5,['Cumbria Police'],,2025,9,2025-09-01
